PLC LOOK UP TABLES,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLC PANELS,,,,CARD,TYPE,SIGNAL,I/O,PREFIX,SUFFIX,,,,,,,,,,,,,,,,,,,,,,,,,,MMM,Machine Full Name,,SSS,System Full Name,,EEE,Equipment Full Name,,DDD,QCA Device Full Name,WESTSHORE Full Name,,,,,EEE Equipment Abbreviations,Equipment Name,,DDD Device Abbreviations,Device Name + Description
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR43 ,Stacker/Reclaimer 43 ,,,,,,,,PSLL,Pressure Switch Low Trip ,Pressure Switch Low Trip ,25.0,KE,Hour Meter/Timer,,,,,LIT,Level Transmitter with Local Indicator
Point IO,,,,1734-IB8S,SDI,24VDC,8,I_,-,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,SR44 ,Stacker/Reclaimer 44 ,,,,,,,,PT,Pressure Transmitter,Pressure Transmitter (Field device with 4-20mA output) ,20.0,HTP,Heat Trace Control Panel,,,,,LSL,"Level Switch Low Warning (Tilt SW, Float SW)"
,,,,1734-OB8S,SDO,24VDC,8,O_,-,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,SR45 ,Stacker/Reclaimer 45 ,,,,,,,,PV,"Proportional Valve, Analog Controlled Valve ","Proportional Valve, Analog Controlled Valve ",44.0,EMPTY RAILCAR TREATMENT,,,,,,LSLL,"Level Switch Low Trip (Tilt SW, Float SW)"
,,,,1734-IA4,DI,120V,4,I_,.,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,SR46 ,Stacker/Reclaimer 46 ,,,,,,,,R,Relay ,Relay ,6.0,PT,Pressure Transmitter,,,,,LSH,"Level Switch High Warning (Tilt SW, Float SW)"
,,,,1734-IB4,DI,24VDC,4,I_,-,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,SR47 ,Stacker/Reclaimer 47 ,,,,,,,,SE,"Speed Element, Wind Speed Anemometer ","Speed Element, Wind Speed Anemometer ",37.0,EV,Valve Actuator,,,,,LSHH,"Level Switch High Trip (Tilt SW, Float SW)"
,,,,1734-IE8C,AI,4-20mA,8,I_,-,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,FMSD ,Foam Shed ,,,,,,,,SEL,Selector Switch ,Selector Switch ,16.0,CP,Control Panel,,,,,TE,"Temperature Element (RTD, TC, PTC)"
,,,,1734-OW4,DO,120V,4,O_,-,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,OD ,Ocean Discharge ,,,,,,,,SS,Speed Switch,"Speed Switch, Zero Speed Switch, Prox SW ",12.0,FCV,Flow Control Valve,,,,,TT,"Temperature Transmitter (RTD, TC, with 4-20mA output)"
,,,,BREAKERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,"Speed Transmitter, Wind Speed Controller ","Speed Transmitter, Wind Speed Controller ",41.0,EY,Photocell ,,,,,TIT,Temperature Transmitter with Local Indicator
,,,,1734-AENT,,UL489 CB (2A),,AENT-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV,"Solenoid Valve, Control Valve ","Solenoid Valve, Control Valve ",30.0,EB,Electrical Box,,,,,TSL,Temp Switch Low Warning (Temp SW)
,,,,1734-EP24DC,,UL489 CB (2A),,EP24DC-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE,Temperature Element,"Temperature Element (RTD, TC, PTC) ",19.0,FT,Flow Transmitter,,,,,TSLL,Temp Switch Low Trip (Temp SW)
,,,,1734-FPD,INPUT,UL1077 CB (2A),,FPD-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIT,Temperature Transmitter with Local Indicator ,Temperature Transmitter with Local Indicator ,45.0,FTVIEW,FTView Station,,,,,TSH,"Temp Switch High Warning (Temp SW, Thermoswitch, Klixon)"
,,,,1734-FPD,OUTPUT,UL 489 CB (5A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSH,"Temp Switch High Warning (Temp SW, Thermoswitch, Klixon) ","Temp Switch High Warning (Temp SW, Thermoswitch, Klixon) ",57.0,HSS,Rope Switch,,,,,TSHH,"Temp Switch High Trip (Temp SW, Thermoswitch, Klixon)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSHH,Temp Switch High Trip ,"Temp Switch High Trip (Temp SW, Thermoswitch, Klixon) ",22.0,HT,Heat Trace,,,,,PE,Pressure Element
,,,,1734-VTM,,,,VTM-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BV,Ball Valve with Feedback,,24.0,,,,,,,,
,,,,1734-CTM,,,,CTM-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOV,Motor Operated Valve,,20.0,,,,,,,,
,,,,1734-EPAC,,,,EPAC-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSL,Temp Switch Low Warning (Temp SW) ,Temp Switch Low Warning (Temp SW) ,34.0,HE,Heater Element,,,,,PT,Pressure Transmitter (Field device with 4-20mA output)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSLL,Temp Switch Low Trip (Temp SW) ,Temp Switch Low Trip (Temp SW) ,31.0,HS,Hand-Off-Auto Switch,,,,,PIT,Pressure Transmitter with Local Indicator
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT,Temperature Transmitter,"Temperature Transmitter (RTD, TC, with 4-20mA output) ",23.0,FTS,Flow & Temperature Sensor,,,,,PSL,Pressure Switch Low Warning
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPS,Uninterrupted Power Supply ,Uninterrupted Power Supply ,27.0,RS,Photocell Receiver,,,,,PSLL,Pressure Switch Low Trip
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VE,Vibration Element,Vibration Element (Accelerometer) ,17.0,PDC,Power Distribution Center,,,,,PSH,Pressure Switch High Warning
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIT,Vibration Transmitter with Local Indicator ,Vibration Transmitter with Local Indicator ,43.0,PLC,Main PLC Control Panel,,,,,PSHH,Pressure Switch High Trip
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VT,Vibration Transmitter (Field device with 4-20mA output) ,Vibration Transmitter (Field device with 4-20mA output) ,56.0,PJB,Power Junction Box,,,,,WE,"Weight Element (Load Cell, Strain Gauge, Toque Sensor)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WE,"Weight Element (Load Cell, Strain Gauge, Toque Sensor) ","Weight Element (Load Cell, Strain Gauge, Toque Sensor) ",55.0,LS,Level Switch,,,,,WT,Weight Transmitter (Field device with 4-20mA output)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSH,Weight Switch High Warning ,Weight Switch High Warning ,27.0,LSW,Interior Lighting Switch,,,,,WTI,Weight Transmitter with Local Indicator
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSHH,Weight Switch High Trip ,Weight Switch High Trip ,24.0,LT,Level Transmitter,,,,,WSL,Weight Switch Low Warning (Torque Switch)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSL,Weight Switch Low Warning (Torque Switch) ,Weight Switch Low Warning (Torque Switch) ,42.0,LSHH,High-High Level Switch,,,,,WSLL,Weight Switch Low Trip
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSLL,Weight Switch Low Trip ,Weight Switch Low Trip ,23.0,LSL,Low Level Switch,,,,,WSH,Weight Switch High Warning
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT,Weight Transmitter,Weight Transmitter (Field device with 4-20mA output) ,18.0,LSA,Chute Plugged Alarm,,,,,WSHH,Weight Switch High Trip
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT,Weight Transmitter with Local Indicator ,Weight Transmitter with Local Indicator ,40.0,LSH,High Level Switch,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YA,Warning Horn,Warning Horn,12.0,DBR,Dynamic Braking Resistor,,,,,FE,Flow Element
,,,,,inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YL,Warning Light,Warning Light,13.0,DS,Local Disconnect (480V),,,,,,
,,,,1734-IA4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YS,Light Sensor ,Light Sensor ,13.0,DUMPER,,,,,,FT,Flow Transmitter (Field device with 4-20mA output)
,,,,1734-OW4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZLS,Limit Switch ,"Position Switch, Limit Switch ",13.0,ER-111,Electrical Room 111,,,,,FTI,Flow Transmitter with Local Indicator
,,,,1734-IB8S,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZPE,"Position Switch, Photocell Emitter ","Position Switch, Photocell Emitter ",35.0,ER-613,Electrical Room 613,,,,,FSL,Flow Switch Low Warning (Torque Switch)
,,,,1734-OB8S,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZPR,"Position Switch, Photocell Receiver ","Position Switch, Photocell Receiver ",36.0,ER-611,Electrical Room 611,,,,,FSLL,Flow Switch Low Trip
